updated,date through,zipcode,confirmed_cases\
4/5/20,3/30/20,91902,5\
4/5/20,3/30/20,91909,1\
4/5/20,3/30/20,91910,11\
4/5/20,3/30/20,91911,11\
4/5/20,3/30/20,91913,10\
4/5/20,3/30/20,91914,2\
4/5/20,3/30/20,91915,2\
4/5/20,3/30/20,91941,3\
4/5/20,3/30/20,91942,6\
4/5/20,3/30/20,91945,5\
4/5/20,3/30/20,91950,9\
4/5/20,3/30/20,91977,15\
4/5/20,3/30/20,91978,2\
4/5/20,3/30/20,92007,4\
4/5/20,3/30/20,92008,6\
4/5/20,3/30/20,92009,12\
4/5/20,3/30/20,92010,5\
4/5/20,3/30/20,92011,5\
4/5/20,3/30/20,92014,8\
4/5/20,3/30/20,92019,14\
4/5/20,3/30/20,92020,21\
4/5/20,3/30/20,92021,13\
4/5/20,3/30/20,92024,16\
4/5/20,3/30/20,92025,4\
4/5/20,3/30/20,92026,3\
4/5/20,3/30/20,92027,5\
4/5/20,3/30/20,92028,4\
4/5/20,3/30/20,92029,2\
4/5/20,3/30/20,92037,26\
4/5/20,3/30/20,92039,1\
4/5/20,3/30/20,92040,5\
4/5/20,3/30/20,92054,5\
4/5/20,3/30/20,92056,5\
4/5/20,3/30/20,92057,6\
4/5/20,3/30/20,92058,3\
4/5/20,3/30/20,92064,7\
4/5/20,3/30/20,92065,4\
4/5/20,3/30/20,92067,10\
4/5/20,3/30/20,92069,3\
4/5/20,3/30/20,92071,5\
4/5/20,3/30/20,92075,2\
4/5/20,3/30/20,92078,2\
4/5/20,3/30/20,92081,4\
4/5/20,3/30/20,92083,1\
4/5/20,3/30/20,92084,7\
4/5/20,3/30/20,92091,1\
4/5/20,3/30/20,92093,3\
4/5/20,3/30/20,92101,22\
4/5/20,3/30/20,92102,10\
4/5/20,3/30/20,92103,57\
4/5/20,3/30/20,92104,22\
4/5/20,3/30/20,92105,18\
4/5/20,3/30/20,92106,6\
4/5/20,3/30/20,92107,2\
4/5/20,3/30/20,92108,12\
4/5/20,3/30/20,92109,19\
4/5/20,3/30/20,92110,12\
4/5/20,3/30/20,92111,8\
4/5/20,3/30/20,92113,13\
4/5/20,3/30/20,92114,11\
4/5/20,3/30/20,92115,13\
4/5/20,3/30/20,92116,23\
4/5/20,3/30/20,92117,10\
4/5/20,3/30/20,92118,1\
4/5/20,3/30/20,92119,3\
4/5/20,3/30/20,92120,9\
4/5/20,3/30/20,92121,3\
4/5/20,3/30/20,92122,8\
4/5/20,3/30/20,92123,11\
4/5/20,3/30/20,92124,4\
4/5/20,3/30/20,92126,13\
4/5/20,3/30/20,92127,12\
4/5/20,3/30/20,92128,11\
4/5/20,3/30/20,92129,8\
4/5/20,3/30/20,92130,16\
4/5/20,3/30/20,92131,4\
4/5/20,3/30/20,92139,10\
4/5/20,3/30/20,92145,2\
4/5/20,3/30/20,92154,18\
4/5/20,3/30/20,92173,3\
4/5/20,3/30/20,92196,1\
4/5/20,3/30/20,Unknown*,35\
4/5/20,3/30/20,TOTAL,734\
4/5/20,3/31/20,91902,8\
4/5/20,3/31/20,91909,1\
4/5/20,3/31/20,91910,17\
4/5/20,3/31/20,91911,13\
4/5/20,3/31/20,91913,14\
4/5/20,3/31/20,91914,2\
4/5/20,3/31/20,91915,4\
4/5/20,3/31/20,91941,4\
4/5/20,3/31/20,91942,8\
4/5/20,3/31/20,91945,5\
4/5/20,3/31/20,91950,10\
4/5/20,3/31/20,91977,16\
4/5/20,3/31/20,91978,2\
4/5/20,3/31/20,92007,4\
4/5/20,3/31/20,92008,7\
4/5/20,3/31/20,92009,12\
4/5/20,3/31/20,92010,6\
4/5/20,3/31/20,92011,6\
4/5/20,3/31/20,92014,8\
4/5/20,3/31/20,92019,16\
4/5/20,3/31/20,92020,22\
4/5/20,3/31/20,92021,16\
4/5/20,3/31/20,92024,20\
4/5/20,3/31/20,92025,5\
4/5/20,3/31/20,92026,3\
4/5/20,3/31/20,92027,5\
4/5/20,3/31/20,92028,4\
4/5/20,3/31/20,92029,5\
4/5/20,3/31/20,92037,29\
4/5/20,3/31/20,92039,1\
4/5/20,3/31/20,92040,8\
4/5/20,3/31/20,92054,7\
4/5/20,3/31/20,92056,7\
4/5/20,3/31/20,92057,5\
4/5/20,3/31/20,92058,3\
4/5/20,3/31/20,92061,1\
4/5/20,3/31/20,92064,9\
4/5/20,3/31/20,92065,4\
4/5/20,3/31/20,92067,11\
4/5/20,3/31/20,92069,5\
4/5/20,3/31/20,92071,5\
4/5/20,3/31/20,92075,2\
4/5/20,3/31/20,92078,6\
4/5/20,3/31/20,92081,5\
4/5/20,3/31/20,92083,1\
4/5/20,3/31/20,92084,8\
4/5/20,3/31/20,92091,1\
4/5/20,3/31/20,92092,2\
4/5/20,3/31/20,92093,1\
4/5/20,3/31/20,92101,27\
4/5/20,3/31/20,92102,10\
4/5/20,3/31/20,92103,58\
4/5/20,3/31/20,92104,23\
4/5/20,3/31/20,92105,22\
4/5/20,3/31/20,92106,6\
4/5/20,3/31/20,92107,3\
4/5/20,3/31/20,92108,13\
4/5/20,3/31/20,92109,20\
4/5/20,3/31/20,92110,13\
4/5/20,3/31/20,92111,8\
